# betaPara  betaPerp  deltaPara  deltaPerp  beta  delta  energy
3.764261440877847442e-04 3.764261440877849610e-04 1.745633629856918482e-03 1.731523144092038868e-03 3.764261440877867499e-04 1.584637014339875926e-03 2.822992669603258946e+02
3.775542110683983792e-04 3.775542110683992466e-04 1.742707960304279045e-03 1.728805788986527078e-03 3.775542110684000597e-04 1.580866873295347277e-03 2.823235604009583994e+02
3.786818842531010951e-04 3.786818842530979509e-04 1.739756833879822903e-03 1.726069897743074321e-03 3.786818842531019082e-04 1.577060220432891695e-03 2.823478538415908474e+02
3.798091637950687578e-04 3.798091637950659931e-04 1.736779451821860885e-03 1.723314957922446322e-03 3.798091637950690830e-04 1.573216017545112175e-03 2.823721472822233522e+02
3.809360498473989541e-04 3.809360498473967857e-04 1.733774984066218479e-03 1.720540441254160384e-03 3.809360498473989541e-04 1.569333187884461474e-03 2.823964407228558571e+02
3.820625425631195564e-04 3.820625425631204780e-04 1.730742567542939469e-03 1.717745802974388059e-03 3.820625425631217790e-04 1.565410614184255906e-03 2.824207341634883051e+02
3.831886420951952825e-04 3.831886420951930599e-04 1.727681304368589368e-03 1.714930481136823668e-03 3.831886420951938189e-04 1.561447136560680611e-03 2.824450276041208099e+02
3.843143485965123539e-04 3.843143485965110529e-04 1.724590259899458529e-03 1.712093895887169606e-03 3.843143485965141428e-04 1.557441550269107961e-03 2.824693210447533147e+02
3.854396622198911809e-04 3.854396622198899883e-04 1.721468460646497813e-03 1.709235448691508999e-03 3.854396622198921567e-04 1.553392603303356285e-03 2.824936144853858195e+02
3.865645831180766052e-04 3.865645831180753041e-04 1.718314892042388606e-03 1.706354521532145582e-03 3.865645831180801830e-04 1.549298993835618136e-03 2.825179079260182675e+02
3.876891114437531322e-04 3.876891114437523733e-04 1.715128496038347775e-03 1.703450476050309215e-03 3.876891114437532948e-04 1.545159367470532678e-03 2.825422013666507723e+02
3.888132473495270426e-04 3.888132473495264463e-04 1.711908168523471703e-03 1.700522652650950962e-03 3.888132473495263378e-04 1.540972314308402050e-03 2.825664948072832772e+02
3.899369909879328968e-04 3.899369909879321378e-04 1.708652756543263106e-03 1.697570369548106334e-03 3.899369909879347399e-04 1.536736365789569776e-03 2.825907882479157252e+02
3.910603425114448652e-04 3.910603425114447568e-04 1.705361055306027843e-03 1.694592921765999223e-03 3.910603425114464915e-04 1.532449991311472109e-03 2.826150816885482300e+02
3.921833020724583511e-04 3.921833020724553153e-04 1.702031804951940940e-03 1.691589580078230962e-03 3.921833020724596521e-04 1.528111594591100931e-03 2.826393751291807348e+02
